"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R13,R4,R5,R8";"R_0402_1005Metric";4;"4.7k";;;
2;"R2,R1";"R_0402_1005Metric";2;"5.1k";;;
3;"C2,C5,C11";"C_0402_1005Metric";3;"4.7uF";;;
4;"Y2";"Crystal_SMD_2012-2Pin_2.0x1.2mm";1;"32.768khz";;;
5;"C7,C8";"C_0402_1005Metric";2;"12pF";;;
6;"J2";"JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal";1;"Conn_01x03_MountingPin";;;
7;"J4,J5";"JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal";2;"Conn_01x05_MountingPin";;;
8;"C13,C4";"C_0402_1005Metric";2;"10uF";;;
9;"R11,R14";"R_0402_1005Metric";2;"56k";;;
10;"R12";"R_0402_1005Metric";1;"100k";;;
11;"D3,D2";"LED_0402_1005Metric";2;"LED";;;
12;"R16";"R_0402_1005Metric";1;"18k";;;
13;"R3";"R_0805_2012Metric";1;"4.7R";;;
14;"C9,C10,C6";"C_0402_1005Metric";3;"0.1uF";;;
15;"C1,C3";"C_0402_1005Metric";2;"1uf";;;
16;"SW2";"SW_Push_1P1T_NO_CK_KSC6xxG";1;"SW_Push";;;
17;"U1";"IC_BQ25185DLHR";1;"BQ25185DLHR";;;
18;"J1";"USB_C_Receptacle_GCT_USB4110";1;"USB_C_Receptacle_USB2.0_16P";;;
19;"R7,R6";"R_0402_1005Metric";2;"10k";;;
20;"U2";"Raytac_MDBT50Q";1;"MDBT50Q-1MV2";;;
21;"R10,R9";"R_0402_1005Metric";2;"22";;;
22;"U4";"TSOT-23-5";1;"TPS7A02DBV";;;
23;"R15";"R_0402_1005Metric";1;"1.2k";;;
24;"SW1";"SW_E-Switch_EG1271_SPDT";1;"SW_SPDT";;;
25;"U5";"SOT-23-6";1;"TMAG5173A1QDBVRQ1";;;
26;"U3";"SOT-23-6";1;"WE-TVS-82400102";;;
