Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uf,C_0402_1005Metric,127.689411,-112.389411,135.0,top
C10,0.1uF,C_0402_1005Metric,102.2625,-128.20625,180.0,top
C11,4.7uF,C_0402_1005Metric,111.575,-114.25,90.0,top
C13,10uF,C_0402_1005Metric,106.025,-112.46,0.0,top
C2,4.7uF,C_0402_1005Metric,117.675,-114.37,90.0,top
C3,1uf,C_0402_1005Metric,116.675,-114.380001,90.0,top
C4,10uF,C_0402_1005Metric,102.25,-113.4,180.0,top
C5,4.7uF,C_0402_1005Metric,125.189069,-109.860006,60.0,top
C6,0.1uF,C_0402_1005Metric,104.125,-112.46,0.0,top
C7,12pF,C_0402_1005Metric,100.25,-112.97,-90.0,top
C8,12pF,C_0402_1005Metric,96.249997,-112.970001,-90.0,top
C9,0.1uF,C_0402_1005Metric,102.245,-112.46,180.0,top
D2,LED,LED_0402_1005Metric,81.928306,-107.171703,45.0,top
D3,LED,LED_0402_1005Metric,81.164195,-106.385809,45.0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4110,127.21,-125.89,90.0,top
J2,Conn_01x03_MountingPin,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,121.0,-108.799998,-90.0,top
J4,Conn_01x05_MountingPin,JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,102.6,-120.53125,180.0,top
J5,Conn_01x05_MountingPin,JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,89.25,-112.324999,0.0,top
R1,5.1k,R_0402_1005Metric,125.6,-133.2,0.0,top
R10,22,R_0402_1005Metric,107.890003,-109.049999,180.0,top
R11,56k,R_0402_1005Metric,83.5,-114.15,90.0,top
R12,100k,R_0402_1005Metric,82.5,-114.15,-90.0,top
R13,4.7k,R_0402_1005Metric,82.560625,-104.939376,45.0,top
R14,56k,R_0402_1005Metric,75.3,-115.31,-90.0,top
R15,1.2k,R_0402_1005Metric,127.05,-115.65,-135.0,top
R16,18k,R_0402_1005Metric,127.75,-116.35,-135.0,top
R2,5.1k,R_0402_1005Metric,125.69,-134.299999,0.0,top
R3,4.7R,R_0805_2012Metric,106.8375,-113.95,180.0,top
R4,4.7k,R_0402_1005Metric,90.55,-107.924999,-90.0,top
R5,4.7k,R_0402_1005Metric,89.55,-107.924999,-90.0,top
R6,10k,R_0402_1005Metric,94.9,-110.75,90.0,top
R7,10k,R_0402_1005Metric,95.3,-113.0,90.0,top
R8,4.7k,R_0402_1005Metric,83.321252,-105.778754,45.0,top
R9,22,R_0402_1005Metric,107.9,-110.0,180.0,top
SW1,SW_SPDT,SW_E-Switch_EG1271_SPDT,111.8,-102.8,0.0,top
SW2,SW_Push,SW_Push_1P1T_NO_CK_KSC6xxG,76.95,-123.0,90.0,top
U1,BQ25185DLHR,IC_BQ25185DLHR,126.323228,-113.441851,-45.0,top
U2,MDBT50Q-1MV2,Raytac_MDBT50Q,101.15,-105.45,0.0,top
U3,WE-TVS-82400102,SOT-23-6,124.350001,-116.823126,90.0,top
U4,TPS7A02DBV,TSOT-23-5,114.1625,-113.9,180.0,top
U5,TMAG5173A1QDBVRQ1,SOT-23-6,102.3,-125.95625,0.0,top
Y2,32.768khz,Crystal_SMD_2012-2Pin_2.0x1.2mm,98.25,-113.05,0.0,top
